Dataset,ContaminationRate,ContaminationPercent,Repetition,Rows,ContaminatedRows,NoiseSD,OLS_CleanMAE,LAD_CleanMAE,LADMinusOLS_CleanMAE,LADReductionPercent_CleanMAE,LADWins_CleanMAE,OLS_CleanRMSE,LAD_CleanRMSE,LADMinusOLS_CleanRMSE,LADReductionPercent_CleanRMSE,LADWins_CleanRMSE,OLS_PredictionRMSEFromCleanFit,LAD_PredictionRMSEFromCleanFit,LADMinusOLS_PredictionRMSEFromCleanFit,LADReductionPercent_PredictionRMSEFromCleanFit,LADWins_PredictionRMSEFromCleanFit,OLS_StandardizedSlopeL2Shift,LAD_StandardizedSlopeL2Shift,LADMinusOLS_StandardizedSlopeL2Shift,LADReductionPercent_StandardizedSlopeL2Shift,LADWins_StandardizedSlopeL2Shift
Boston Housing,0.1,10,20,357,36,69,4.275184307,2.327891385,-1.947292922,45.54874789,True,5.382047755,3.154052627,-2.227995128,41.39679225,True,4.4159861,0.4657529982,-3.950233102,89.45302391,True,2.074377152,0.3098719284,-1.764505224,85.06192916,True
Boston Housing,0.1,10,21,357,36,69,4.082903337,2.331620067,-1.75128327,42.89308674,True,5.357062926,3.233029158,-2.124033768,39.64922192,True,4.385500929,0.7042650413,-3.681235888,83.94105821,True,3.530878662,0.5013151432,-3.029563519,85.80197194,True
Boston Housing,0.1,10,22,357,36,69,3.629531829,2.310336655,-1.319195174,36.34615251,True,4.534963084,3.143017262,-1.391945822,30.69365276,True,3.331724084,0.2817585158,-3.049965568,91.54316178,True,3.52746113,0.1894572916,-3.338003838,94.629075,True
Boston Housing,0.1,10,23,357,36,69,3.877811636,2.317849119,-1.559962517,40.22790851,True,4.939332,3.177480708,-1.761851292,35.66982928,True,3.864129371,0.513058196,-3.351071175,86.72254092,True,3.156301454,0.3127015334,-2.843599921,90.09278619,True
Boston Housing,0.1,10,24,357,36,69,3.887169511,2.311491886,-1.575677625,40.53534636,True,4.932531126,3.152806545,-1.779724581,36.08136544,True,3.855432338,0.3810803524,-3.474351986,90.11575567,True,3.90347838,0.1949616689,-3.708516711,95.00543746,True
Boston Housing,0.1,10,25,357,36,69,4.198848055,2.307682595,-1.89116546,45.04010231,True,5.196755912,3.133336801,-2.063419111,39.7059078,True,4.188169911,0.2307555683,-3.957414343,94.4903007,True,3.663091398,0.131847248,-3.53124415,96.40065634,True
Boston Housing,0.1,10,26,357,36,69,3.900783095,2.309932429,-1.590850666,40.78285378,True,4.844857114,3.135829477,-1.709027637,35.27508855,True,3.742610807,0.332575996,-3.410034811,91.11379694,True,1.513827296,0.3974529868,-1.116374309,73.74515654,True
Boston Housing,0.1,10,27,357,36,69,3.511227913,2.304889583,-1.20633833,34.35659433,True,4.479372871,3.152103997,-1.327268874,29.63068519,True,3.255653009,0.24158437,-3.014068639,92.57954182,True,2.11162838,0.1038978413,-2.007730539,95.07972888,True
Boston Housing,0.1,10,28,357,36,69,3.693929003,2.333809836,-1.360119167,36.82039276,True,4.980997794,3.295736715,-1.685261079,33.83380497,True,3.917248297,0.8586599093,-3.058588388,78.08002342,True,1.466721703,0.6360842539,-0.8306374491,56.63224642,True
Boston Housing,0.1,10,29,357,36,69,3.904498507,2.3168573,-1.587641207,40.66184695,True,4.975319143,3.176168209,-1.799150934,36.16151813,True,3.910025035,0.499385503,-3.410639532,87.22807403,True,3.647831366,0.2538059686,-3.394025397,93.04227791,True
Boston Housing,0.1,10,30,357,36,69,4.024212022,2.321337618,-1.702874404,42.3157228,True,5.134621879,3.180977165,-1.953644714,38.04846316,True,4.110819509,0.4806176731,-3.630201836,88.30847056,True,1.507597962,0.3440376571,-1.163560305,77.1797478,True
Boston Housing,0.2,20,1,357,71,69,4.73494392,2.355624807,-2.379319113,50.25020683,True,6.208029267,3.313939043,-2.894090224,46.61850161,True,5.392042524,0.9955202728,-4.396522251,81.53723254,True,5.811023146,0.5594460694,-5.251577077,90.37267525,True
Boston Housing,0.2,20,2,357,71,69,4.783629565,2.338842918,-2.444786647,51.10735716,True,6.467603285,3.191588422,-3.276014863,50.65268723,True,5.688970685,0.7435730311,-4.945397654,86.92956824,True,3.687105425,0.4660533703,-3.221052055,87.359912,True
Boston Housing,0.2,20,3,357,71,69,4.262097308,2.349198672,-1.912898636,44.88162747,True,5.758771119,3.215746447,-2.543024672,44.15915513,True,4.868052999,0.8486812268,-4.019371772,82.56631086,True,5.626875648,0.8697486781,-4.75712697,84.54295541,True
